# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
4.321777e+15, 1.549564e+36, 2e+39
4.321275e+15, 1.549293e+36, 2e+39
4.320771e+15, 1.549021e+36, 2e+39
4.320270e+15, 1.548749e+36, 2e+39
4.319767e+15, 1.548478e+36, 2e+39
4.319265e+15, 1.548206e+36, 2e+39
4.318763e+15, 1.547934e+36, 2e+39
4.318260e+15, 1.547663e+36, 2e+39
4.317760e+15, 1.547391e+36, 2e+39
4.317257e+15, 1.547120e+36, 2e+39
4.316755e+15, 1.546848e+36, 2e+39
4.316253e+15, 1.546577e+36, 2e+39
4.315748e+15, 1.546305e+36, 2e+39
4.315247e+15, 1.546034e+36, 2e+39
4.314746e+15, 1.545762e+36, 2e+39
4.314244e+15, 1.545491e+36, 2e+39
4.313740e+15, 1.545219e+36, 2e+39
4.313239e+15, 1.544948e+36, 2e+39
4.312736e+15, 1.544677e+36, 2e+39
4.312236e+15, 1.544405e+36, 2e+39
4.311733e+15, 1.544134e+36, 2e+39
4.311231e+15, 1.543863e+36, 2e+39
4.310729e+15, 1.543592e+36, 2e+39
4.310229e+15, 1.543320e+36, 2e+39
4.309724e+15, 1.543049e+36, 2e+39
4.309223e+15, 1.542778e+36, 2e+39
4.308723e+15, 1.542507e+36, 2e+39
4.308219e+15, 1.542236e+36, 2e+39
4.307720e+15, 1.541965e+36, 2e+39
4.307215e+15, 1.541693e+36, 2e+39
4.306716e+15, 1.541422e+36, 2e+39
4.306211e+15, 1.541151e+36, 2e+39
4.305714e+15, 1.540880e+36, 2e+39
4.305208e+15, 1.540609e+36, 2e+39
4.304707e+15, 1.540338e+36, 2e+39
4.304208e+15, 1.540067e+36, 2e+39
4.303703e+15, 1.539796e+36, 2e+39
4.303203e+15, 1.539525e+36, 2e+39
4.302703e+15, 1.539255e+36, 2e+39
4.302198e+15, 1.538984e+36, 2e+39
4.301698e+15, 1.538713e+36, 2e+39
4.301193e+15, 1.538442e+36, 2e+39
4.300695e+15, 1.538171e+36, 2e+39
4.300193e+15, 1.537900e+36, 2e+39
4.299692e+15, 1.537630e+36, 2e+39
4.299190e+15, 1.537359e+36, 2e+39
4.298689e+15, 1.537088e+36, 2e+39
4.298188e+15, 1.536818e+36, 2e+39
4.297685e+15, 1.536547e+36, 2e+39
4.297188e+15, 1.536276e+36, 2e+39
4.296683e+15, 1.536006e+36, 2e+39
4.296184e+15, 1.535735e+36, 2e+39
4.295682e+15, 1.535464e+36, 2e+39
4.295180e+15, 1.535194e+36, 2e+39
4.294679e+15, 1.534923e+36, 2e+39
4.294176e+15, 1.534653e+36, 2e+39
4.293680e+15, 1.534382e+36, 2e+39
4.293175e+15, 1.534112e+36, 2e+39
4.292677e+15, 1.533841e+36, 2e+39
4.292171e+15, 1.533571e+36, 2e+39
4.291672e+15, 1.533301e+36, 2e+39
4.291170e+15, 1.533030e+36, 2e+39
4.290672e+15, 1.532760e+36, 2e+39
4.290166e+15, 1.532490e+36, 2e+39
4.289669e+15, 1.532219e+36, 2e+39
4.289164e+15, 1.531949e+36, 2e+39
4.288668e+15, 1.531679e+36, 2e+39
4.288162e+15, 1.531408e+36, 2e+39
4.287666e+15, 1.531138e+36, 2e+39
4.287163e+15, 1.530868e+36, 2e+39
4.286664e+15, 1.530598e+36, 2e+39
4.286159e+15, 1.530328e+36, 2e+39
4.285661e+15, 1.530058e+36, 2e+39
4.285158e+15, 1.529787e+36, 2e+39
4.284659e+15, 1.529517e+36, 2e+39
4.284156e+15, 1.529247e+36, 2e+39
4.283658e+15, 1.528977e+36, 2e+39
4.283153e+15, 1.528707e+36, 2e+39
4.282656e+15, 1.528437e+36, 2e+39
4.282154e+15, 1.528167e+36, 2e+39
4.281650e+15, 1.527897e+36, 2e+39
4.281154e+15, 1.527627e+36, 2e+39
4.280652e+15, 1.527358e+36, 2e+39
4.280152e+15, 1.527088e+36, 2e+39
4.279652e+15, 1.526818e+36, 2e+39
4.279149e+15, 1.526548e+36, 2e+39
4.278650e+15, 1.526278e+36, 2e+39
4.278151e+15, 1.526008e+36, 2e+39
4.277648e+15, 1.525739e+36, 2e+39
4.277151e+15, 1.525469e+36, 2e+39
4.276645e+15, 1.525199e+36, 2e+39
4.276146e+15, 1.524929e+36, 2e+39
4.275649e+15, 1.524660e+36, 2e+39
4.275146e+15, 1.524390e+36, 2e+39
4.274646e+15, 1.524121e+36, 2e+39
4.274144e+15, 1.523851e+36, 2e+39
4.273646e+15, 1.523581e+36, 2e+39
4.273143e+15, 1.523312e+36, 2e+39
4.272646e+15, 1.523042e+36, 2e+39
4.272146e+15, 1.522773e+36, 2e+39
4.271646e+15, 1.522503e+36, 2e+39
4.271146e+15, 1.522234e+36, 2e+39
4.270645e+15, 1.521964e+36, 2e+39
4.270144e+15, 1.521695e+36, 2e+39
4.269645e+15, 1.521425e+36, 2e+39
4.269143e+15, 1.521156e+36, 2e+39
4.268646e+15, 1.520887e+36, 2e+39
4.268144e+15, 1.520617e+36, 2e+39
4.267643e+15, 1.520348e+36, 2e+39
4.267142e+15, 1.520079e+36, 2e+39
4.266645e+15, 1.519810e+36, 2e+39
4.266143e+15, 1.519540e+36, 2e+39
4.265642e+15, 1.519271e+36, 2e+39
4.265145e+15, 1.519002e+36, 2e+39
4.264644e+15, 1.518733e+36, 2e+39
4.264142e+15, 1.518464e+36, 2e+39
4.263643e+15, 1.518194e+36, 2e+39
4.263142e+15, 1.517925e+36, 2e+39
4.262643e+15, 1.517656e+36, 2e+39
4.262147e+15, 1.517387e+36, 2e+39
4.261643e+15, 1.517118e+36, 2e+39
4.261144e+15, 1.516849e+36, 2e+39
4.260645e+15, 1.516580e+36, 2e+39
4.260142e+15, 1.516311e+36, 2e+39
4.259644e+15, 1.516042e+36, 2e+39
4.259146e+15, 1.515773e+36, 2e+39
4.258647e+15, 1.515504e+36, 2e+39
4.258143e+15, 1.515235e+36, 2e+39
4.257648e+15, 1.514967e+36, 2e+39
4.257144e+15, 1.514698e+36, 2e+39
4.256647e+15, 1.514429e+36, 2e+39
4.256149e+15, 1.514160e+36, 2e+39
4.255646e+15, 1.513891e+36, 2e+39
4.255149e+15, 1.513623e+36, 2e+39
4.254649e+15, 1.513354e+36, 2e+39
4.254150e+15, 1.513085e+36, 2e+39
4.253650e+15, 1.512816e+36, 2e+39
4.253150e+15, 1.512548e+36, 2e+39
4.252650e+15, 1.512279e+36, 2e+39
4.252151e+15, 1.512011e+36, 2e+39
4.251652e+15, 1.511742e+36, 2e+39
4.251154e+15, 1.511473e+36, 2e+39
4.250653e+15, 1.511205e+36, 2e+39
4.250156e+15, 1.510936e+36, 2e+39
4.249655e+15, 1.510668e+36, 2e+39
4.249157e+15, 1.510399e+36, 2e+39
4.248656e+15, 1.510131e+36, 2e+39
4.248156e+15, 1.509862e+36, 2e+39
4.247659e+15, 1.509594e+36, 2e+39
4.247159e+15, 1.509326e+36, 2e+39
4.246659e+15, 1.509057e+36, 2e+39
4.246159e+15, 1.508789e+36, 2e+39
4.245661e+15, 1.508521e+36, 2e+39
4.245161e+15, 1.508252e+36, 2e+39
4.244662e+15, 1.507984e+36, 2e+39
4.244164e+15, 1.507716e+36, 2e+39
4.243665e+15, 1.507448e+36, 2e+39
4.243165e+15, 1.507179e+36, 2e+39
4.242667e+15, 1.506911e+36, 2e+39
4.242167e+15, 1.506643e+36, 2e+39
4.241669e+15, 1.506375e+36, 2e+39
4.241167e+15, 1.506107e+36, 2e+39
4.240673e+15, 1.505839e+36, 2e+39
4.240170e+15, 1.505571e+36, 2e+39
4.239673e+15, 1.505303e+36, 2e+39
4.239176e+15, 1.505035e+36, 2e+39
4.238673e+15, 1.504767e+36, 2e+39
4.238177e+15, 1.504499e+36, 2e+39
4.237677e+15, 1.504231e+36, 2e+39
4.237180e+15, 1.503963e+36, 2e+39
4.236678e+15, 1.503695e+36, 2e+39
4.236183e+15, 1.503427e+36, 2e+39
4.235682e+15, 1.503159e+36, 2e+39
4.235184e+15, 1.502891e+36, 2e+39
4.234688e+15, 1.502623e+36, 2e+39
4.234186e+15, 1.502356e+36, 2e+39
4.233689e+15, 1.502088e+36, 2e+39
4.233190e+15, 1.501820e+36, 2e+39
4.232689e+15, 1.501552e+36, 2e+39
4.232192e+15, 1.501285e+36, 2e+39
4.231696e+15, 1.501017e+36, 2e+39
4.231194e+15, 1.500749e+36, 2e+39
4.230698e+15, 1.500482e+36, 2e+39
4.230198e+15, 1.500214e+36, 2e+39
4.229702e+15, 1.499946e+36, 2e+39
4.229201e+15, 1.499679e+36, 2e+39
4.228702e+15, 1.499411e+36, 2e+39
4.228205e+15, 1.499144e+36, 2e+39
4.227706e+15, 1.498876e+36, 2e+39
4.227209e+15, 1.498609e+36, 2e+39
4.226710e+15, 1.498341e+36, 2e+39
4.226214e+15, 1.498074e+36, 2e+39
4.225714e+15, 1.497806e+36, 2e+39
4.225214e+15, 1.497539e+36, 2e+39
4.224718e+15, 1.497272e+36, 2e+39
4.224220e+15, 1.497004e+36, 2e+39
4.223722e+15, 1.496737e+36, 2e+39
4.223222e+15, 1.496470e+36, 2e+39
4.222727e+15, 1.496202e+36, 2e+39
4.222226e+15, 1.495935e+36, 2e+39
4.221728e+15, 1.495668e+36, 2e+39
4.221230e+15, 1.495401e+36, 2e+39
4.220734e+15, 1.495134e+36, 2e+39
4.220235e+15, 1.494866e+36, 2e+39
4.219737e+15, 1.494599e+36, 2e+39
4.219237e+15, 1.494332e+36, 2e+39
4.218740e+15, 1.494065e+36, 2e+39
4.218240e+15, 1.493798e+36, 2e+39
